Field,Πεδίο
Example: checkout.html -> http://example.com/checkout.html,Παράδειγμα: checkout.html -> http://example.com/checkout.html
Default Shipping Method,Προεπιλεγμένη μέθοδος αποστολής
Default Payment Method,Προεπιλεγμένη μέθοδος πληρωμής
Allow Update Product Quantity,Επιτρέψτε την ενημέρωση της ποσότητας προϊόντος
Allow Remove Product,Να επιτρέπεται η κατάργηση του προϊόντος
Allow Edit Product Option,Να επιτρέπεται η επεξεργασία της επιλογής προϊόντων
Add Gift Message Per Item,Προσθήκη μηνύματος δώρου ανά στοιχείο
Add Gift Message Per Order,Προσθήκη μηνύματος δώρου ανά παραγγελία
Redirect To Checkout,Ανακατεύθυνση στο Checkout
Display,Απεικόνιση
Checkout Page Layout,Σύνταξη σελίδας ολοκλήρωσης ελέγχου
Disable Telephone Field,Απενεργοποίηση τηλεφωνικού πεδίου
Disable Company Field,Απενεργοποιήστε το πεδίο της εταιρείας
Disable Header,Απενεργοποίηση κεφαλίδας
Disable Footer,Απενεργοποιήστε το υποσέλιδο
Disable Login Popup,Απενεργοποιήστε το Αναδυόμενο παράθυρο σύνδεσης
Move Cart Items,Μετακίνηση στοιχείων καλαθιού
Always Show Cart Items,Εμφάνιση πάντα στοιχεία καλαθιού
Move Billing Address Before Shipping Address,Μετακίνηση της διεύθυνσης χρέωσης πριν από την ταχυδρομική διεύθυνση
Disable Coupon Code,Απενεργοποίηση κωδικού κουπονιού
Coupon code initial collapse state,Κωδικός κουπονιού αρχική κατάρρευση κατάσταση
Disable Gift Options,Απενεργοποιήστε τις επιλογές δώρων
Gift options initial collapse state,Επιλογές δώρου αρχική κατάρρευση κατάσταση
Footer Content,Υποσέλιδο Περιεχόμενο
You can edit this field to add content to the bottom right of your checkout. This is useful for displaying things such as supported payment methods.,Μπορείτε να επεξεργαστείτε αυτό το πεδίο για να προσθέσετε περιεχόμενο στο κάτω δεξιό τμήμα της κάρτας σας. Αυτό είναι χρήσιμο για την εμφάνιση πράξεων όπως οι υποστηριζόμενες μέθοδοι πληρωμής.
Shipping,Αποστολή
Hide Shipping Methods,Απόκρυψη μεθόδων αποστολής
Hide Shipping Method Title,Απόκρυψη τίτλου μεθόδου αποστολής
Colors,Χρωματιστά
Main Color,Κύριο χρώμα
Icon Color,Εικονίδιο Χρώμα
Button,Κουμπί
Gift Message,Μήνυμα δώρου
Order summary background,Παραγγελία περίληψης παραγγελίας
Shipping methods background,Ταμείο αποστολής μεθόδων
Payment methods background,Τρόποι πληρωμής φόντο
Account and address background,Ιστορικό λογαριασμού και διεύθυνσης
Icons,Εικόνες
Account Information Step,Στοιχεία λογαριασμού Βήμα
Shipping Address Step,Διεύθυνση αποστολής Βήμα
Billing Address Step,Φόρμα διεύθυνσης χρέωσης
Shipping Methods Step,Μέθοδοι αποστολής Βήμα
Payment Methods Step,Μέθοδοι πληρωμής Βήμα
Order Summary Step,Βήμα σύνοψης παραγγελίας
Geo IP,Geo IP
Enabled,Ενεργοποιήθηκε
Term and Conditions,Οροι και Προϋποθέσεις
Checked by Default,Έλεγχος από προεπιλογή
Label,Επιγραφή
Popup Content,Αναδυόμενο περιεχόμενο
You can add content for terms popup.,Μπορείτε να προσθέσετε περιεχόμενο για την εμφάνιση των όρων.
Newsletter,Ενημερωτικό δελτίο
Back to Store,Επιστροφή στο Κατάστημα
Address Autocomplete,Διεύθυνση αυτόματης συμπλήρωσης
Auto Save and fill customer infomation,Αυτόματη αποθήκευση και συμπλήρωση των πληροφοριών πελατών
Google Maps API Key,Κλειδί API Χαρτών Google
Split Street Fields,Διαίρεση πεδίων δρόμου
Field Config,Πεδίο ρύθμισης παραμέτρων
Customize,Προσαρμογή
