"All TYRES","الكفرات"
"All chauffeurs are safe drivers that abide strictly by the traffic laws in the UAE. They have experience in driving all variety of cars, ensuring your car is in safe hands with our Drivers.","جميع سائقينا يقودون بتأنًّ وانتباه ويلتزمون بقوانين السير المعمول بها في دولة الإمارات العربية المتحدة. كما يمتلكون خبرةً كافية في قيادة جميع أنواع السيارات، وبالتالي يمكنك أن تكون واثقاً بأنّ سيارتك في أيادٍ أمينة"
"Already have an account? Log in here.","هل لديك حساب؟ سجّل دخولك هنا"
"ANYWHERE IN THE KSA","في كافة أنحاء السعودية"
"APPLY","تفعيل"
"Apply","تفعيل"
"Appointment Date/Time","تاريخ/ وقت الموعد"
"AS EASY AS 1-2-3","أسهل طريقة لحماية إطارات سيارتك!"
"at selected workshops","في مراكز صيانة مُختارة"
"At the moment drivers are available only within Dubai territory.","يتوفّر السائقون حالياً ضمن دبي فقط"
"Auto Upholstery","تنجيد أثاث السيارة"
"AUTO UPHOLSTERY GALLERY","ألبوم صور تنجيد أثاث السيارة"
"AUTOPARTS","قطع غيار السيارات"
"Back","العودة"
"BATTERY","البطارية"
"Battery","البطارية"
"Battery Replacement","استبدال البطارية"
"Car Battery Replacement","استبدال بطارية السيارة"
"Billing Information","معلومات الفوترة"
"BOOK NOW","احجز الآن"
"Book Now","احجز الآن"
"Book online by selecting your oil change preferences or call us toll free 800 255 89737 Saturday to Thursday 9am to 7pm.","احجز عبر موقعنا الزيت المفضّل لديك، إذا كنت ترغب في تغيير زيت سيارتك، أو اتصل بنا على الرقم المجاني 89737 255 800 من السبت إلى الخميس، من 9 صباحاً حتى 7 مساءً"
"Brake Discs","أقراص الفرامل"
"Brake Fluid","زيت الفرامل"
"Brake fluid condition Brake fluid level","حالة زيت الفرامل / مستوى زيت الفرامل"
"Brake Pads Check","فحص بطانات الفرامل"
"Brake Pads or Disks are quoted separetly, they are not included in the package.","يتم تسعير أسطوانات الفرامل أو أقراصها بشكل منفصل، ولا تشملها الباقة"
"Brakes","الفرامل"
"Brake","الفرامل"
"BRAND","العلامة التجارية"
"BRANDED TYRES"," ماركات الكفرات"
"Bridgestone","بريدجستون"
"Matrax","ماتراكس"
"Matrax Tyres","ماتراكس"
"Headway","هيدواي"
"Maxxis","ماكسس"
"Sailun","سايلون"
"By tyre size","حسب حجم الإطار ونوع السيارة"
"CAR DETAILS","تفاصيل السيارة"
"Car Details","تفاصيل السيارة"
"Car Pick & Drop","استلام وتوصيل السيارة "
"Car Pick-Up and Drop-Off","خدمة استلام السيارة وتوصيلها"
"CAR SERVICE PACKS","باقات صيانة السيارة"
"Car Wash","غسيل السيارة"
"Change Email","تغيير عنوان البريد الإلكتروني"
"Change Email and Password","تغيير عنوان البريد الإلكتروني وكلمة المرور"
"CHANGED","تمّ التغيير"
"Check () to indicate","ضَع علامة () لاختيار"
"Choose one of our trusted","يتم التركيب لدى أحد شركائنا المختصّين الذين نثق بهم"
"Choose Your Color","اختر لونك المفضّل"
"City","المدينة"
"CLASSIC","كلاسيك"
"Classic","كلاسيك"
"Click here to continue shopping.","اضغط هنا لمتابعة التسوّق"
"Comment","التعليق"
"Company","الشركة"
"COMPARE","مقارنة"
"Computer Diagnostic","التشخيص عبر الكمبيوتر"
"Confirm Selection","تأكيد الاختيار"
"CONFIRMED","بنجاح"
"Conform New Password","تأكيد كلمة المرور الجديدة"
"CONTACT INFORMATION","معلومات الاتصال"
"Contact Information","معلومات الاتصال"
"CONTACT US TO KNOW THE RIGHT FILTER FOR YOUR VEHICLE.","تواصل معنا لمعرفة الفلتر المناسب لسيارتك"
"Contact us to know the right filter for your vehicle.","تواصل معنا لمعرفة الفلتر المناسب لسيارتك"
"CONTACT US TO KNOW WHAT IS RIGHT AMOUNT OF OIL FOR YOUR VEHICLE.","تواصل معنا لمعرفة كمية الزيت المناسبة لسيارتك"
"CONTACT US TO KNOW WHAT IS RIGHT SIZE OF BATTERY FOR YOUR VEHICLE.","تواصل معنا لمعرفة حجم البطارية المناسب لسيارتك"
"Continental","كونتيننتال"
"Continue Shopping","متابعة التسوّق"
"Coolant","المبرّد"
"Coolant leaks","تسرّب المبرّد"
"Coolant level","مستوى المبرّد"
"Copyright © 2021 Easy Click Tyres Trading L.L.C., All rights reserved.","حقوق النشر والطباعة 2021 لشركة © إيزي كليك لتجارة الإطارات ذ.م.م، جميع الحقوق محفوظة."
"Country","البلد"
"Create an Account","إنشاء حساب"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","يتيح لك إنشاء حساب التمتّع بمزايا عديدة، مثل إتمام عملية الشراء بسرعةٍ أكبر، والاحتفاظ بأكثر من عنوان واحد، وتتبّع الطلبيّات وغيرها"
"Currunt Password","كلمة المرور الحالية"
"CUSTOM STAR ROOF HEADLINER GALLERY","ألبوم صور بطانة السقف المرصّعة بالنجوم والمصمّمة حسب الطلب"
"Customer Details","التفاصيل الخاصة بالعميل"
"Customer Login","تسجيل دخول العميل"
"CUSTOMER SUPPORT","خدمة العملاء"
"Date","التاريخ"
"Dear ,","حضرة ،"
"Dear Customer,","عزيزي العميل."
"DEFAULT BILLING ADDRESS","عنوان الفوترة المحدّد مسبقاً"
"Default Billing Address","عنوان الفوترة المحدّد مسبقاً"
"DEFAULT SHIPPING ADDRESS","عنوان الشحن المحدّد مسبقاً"
"Default Shipping Address","عنوان الشحن المحدّد مسبقاً"
"Delivery Date & Time","تاريخ ووقت التوصيل"
"Delivery Date and Time","تاريخ ووقت التوصيل"
"Delivery Information","معلومات التوصيل"
"Depending on your vehicle's mileage you might need the following","استنادًا إلى الأميال التي اجتازتها سيارتك، قد تحتاج إلى ما يلي"
"different rear tyres?","حجم الإطارات الخلفية مختلف؟"
"Different rear tyres?","حجم الإطارات الخلفية مختلف؟"
"Differential","تفاضلي"
"Direction indicator bulbs Position bulbs","مصابيح مؤشر الاتجاه / مصابيح التوقف"
"DISCOUNT CODES","قسيمة الخصم"
"Discount Codes","قسيمة الخصم"
"Download PDF","تحميل ملف PDF"
"Drop off your car at one of our Stop&Go partner branches at the time and location arranged on your booking or agreed between you and the TyresOnline team.","أوصل سيارتك إلى أحد فروع شريكنا "ستوب أند غو" في الوقت والموقع المحدّدين عند الحجز، أو المتفق عليهما بينك وبين فريق TyresOnline"
"Dunlop","دنلوب"
"Easy, affordable, fast and convenient.","خدمة سريعة ومريحة بأفضل الأسعار"
"Edit","تعديل"
"EDIT ACCOUNT INFORMATION","تعديل معلومات الحساب"
"Edit Account Information","تعديل معلومات الحساب"
"Edit Address","تعديل العنوان"
"Edit Change Password","تعديل تغيير كلمة المرور"
"Email","البريد الإلكتروني"
"Email Address","عنوان البريد الإلكتروني"
"e-mail us","راسلنا عبر البريد الإلكتروني"
"Engine","المحرّك"
"ENGINE BAY","حجرة المحرّك"
"Engine Bay","حجرة المحرّك"
"Engine Capacity","سعة المحرّك"
"Engine mounts","دعائم المحرّك"
"Engine oil leaks","تسريبات زيت المحرّك"
"Enter A location","أدخِل الموقع أ"
"Enter a location","أدخِل الموقع أ"
"ENTER DISCOUNT CODE","أدخِل رمز الخصم"
"Enter Plate Number","أدخِل رقم اللوحة"
"Enter Vehicle make","أدخِل العلامة التجارية للمركبة"
"Enter Vehicle Model","أدخِل طراز المركبة"
"Enter Vehicle Year","أدخِل سنة صنع المركبة"
"Enter Vin Number","أدخِل رقم تعريف المركبة"
"Exhaust leaks/cracks/mounts","تسريبات العادم/الشقوق/الدعائم"
"EXPANDED A","زيادة أ "
"EXPANDED B","زيادة ب "
"Expanded A","زيادة أ "
"Expanded B","زيادة ب "
"Facebook","فيسبوك"
"FAQ's","أسئلة متكرّرة"
"Fault codes reading","قراءة رموز الأعطال"
"Fax","الفاكس"
"Filter Options","خيارات التصفية"
"First Name","الاسم"
"FITMENT & WHEEL BALANCING INCLUDED","شامل التركيب وضبط الميزانية"
"fitment partners","شركاء التركيب"
"FITTING LOCATION","اختَر موقع التركيب"
"FITTING LOCATION Choose a Stop&Go branch","موقع التركيب يرجى اختيار أحد فروع ستوب أند غو"
"Fitting Locations","مراكز تركيب الكفرات"
"Convenient Tyre Fitting with TyresOnline","مواقع مناسبة لتركيب الكفرات معTYRESONLINE"
"Fitting new tyres","تركيب الكفرات الجديدة"
"Buy tyres","شراء كفرات"
"Tyre Shop Near Me","متجر كفرات بالقرب مني"
"Find Your Location","ابحث عن موقعك"
"Near Me","بالقرب مني"
"Fluids Top Up","تعبئة السوائل"
"Fog bulbs","مصابيح الضباب"
"Follow US","تابعنا"
"Follow Us","تابعنا"
"For security, this request was received for your email. If you did not request a password reset, please ignore this email or contact support if you have questions.","لدواعٍ أمنية نُعلمك أنّه جرى استلام هذا الطلب من بريدك الإلكتروني. إذا لم تكن قد طلبت تغيير كلمة المرور، يرجى تجاهل هذا البريد الإلكتروني، أو  التواصل مع فريق الدعم، في حال كان لديك أيّ سؤال"
"For your security and protection, the installer will only fit the tyres on the vehicle bearing the license plate number and description specified on this confirmation. Please contact us by replying to this e-mail or calling us if the details listed here do not match your vehicle.","حفاظاً على أمنك وبهدف حمايتك، سيقوم مزوّد الخدمة بتركيب الإطارات للمركبة التي تحمل رقم لوحة الترخيص والوصف المحددَيْن في استمارة تأكيد الطلب هذه فقط. يرجى التواصل معنا من خلال الردّ على هذا البريد الإلكتروني، أو الاتصال بنا، إذا كانت التفاصيل المدرجة هنا لا تتطابق مع مركبتك"
"FORGOT PASSWORD","نسيت كلمة المرور"
"FORGOT YOUR PASSWORD?","هل نسيت كلمة المرور؟"
"FREE SHIPPING","شحن مجاني"
"SHIPPING","شحن"
"Shipping","شحن"
"FREE","مجاني"
"FITMENT","تركيب"
"Friday – Closed","الجمعة - مغلق"
"Friday - Closed","الجمعة - مغلق"
"Frist name","الاسم"
"Front boot inner","المفصل الأمامي الداخلي"
"Front boot outer","المفصل الأمامي الخارجي"
"Front brake discs","أقراص الفرامل الأمامية"
"Front brake pads","بطانات الفرامل الأمامية"
"Front diff leaks","تسريبات الترس التفاضلي الأمامي"
"Front diff mounts","دعائم الترس التفاضلي الأمامي"
"Front socks","ممتصّ الصدمات الأمامي"
"Front suspension lower arm ball joint","المفصل الكروي على الذراع السفلى لنظام التعليق الأمامي"
"Front suspension lower arm bushes","البطانات على الذراع السفلى لنظام التعليق الأمامي"
"Front suspension upper arm ball joint","المفصل الكروي على الذراع العلوية لنظام التعليق الأمامي"
"Front suspension uppper arm bushes","البطانات على الذراع العلوية لنظام التعليق الأمامي"
"Front tie rods","قضبان الربط الأمامية"
"Front tie rods end","طرف قضبان الربط الأمامية"
"Fuel leaks","تسريبات الوقود"
"GALLERY","ألبوم الصور"
"Gallery","ألبوم الصور"
"Gear Box","ناقل الحركة"
"General Subscription","الاشتراك العام"
"Get in touch, send us an e-mail or call us","تواصل معنا، راسلنا على البريد الإلكتروني أو اتصل بنا"
"Get the tyres you need, when you want and where you want.","احصل على إطارات جديدة لسيارتك في أي وقت وأي مكان من خلال خدمة سريعة ومميزة وبأسعار منافسة"
"Goodyear","جوديير"
"Grand Total","المجموع الإجمالي"
"Order Total","المجموع الإجمالي"
"Handbrake","فرامل اليد"
"Head Office","المكتب الرئيسي"
"Headlights","المصابيح الأمامية"
"HEADLINER REPAIR GALLERY","ألبوم صور تصليح بطانة السقف"
"Headliner Repairs","عمليات تصليح بطانة السقف"
"Height","الارتفاع"
"Horn","المنبّه"
"HOW IT WORKS","كيف تسير العملية"
"If there is an account associated with you will receive an email with a link to reset your password.","إذا كان هناك حساب مرتبط بك، سيتمّ إرسال بريد إلكتروني فيه رابط لإعادة ضبط كلمة المرور الخاصة بك"
"In Comparison mode, changing oil brand or oil grade will render same result in Service Packs selection.","بمقارنة بسيطة، سيؤدي تغيير علامة الزيت أو درجته إلى عرض النتائج نفسها في خانة باقات الصيانة"
"In Stock","متوفر"
"in stock","متوفر"
"IN STOCK","متوفر"
"Instagram","إنستغرام"
"Installation Fee","رسوم التركيب"
"Shipping","رسوم التركيب"
"Installation included","خدمة التركيب مشمولة"
"installation included","خدمة التركيب مشمولة"
"Installer Information","معلومات عن مزوّد خدمة التركيب"
"IT MAKES SENSE","نفهم احتياجاتك ونلبّيها في أسرع وقت"
"Item","السلعة"
"ITEM","السلعة"
"ITEM(S) TOTAL","إجمالي قيمة السلع"
"Item(s) Total","إجمالي قيمة السلع"
"TOTAL","الإجمالي"
"ITEM(S) TOTAL:",":إجمالي قيمة السلع"
"Item(s) Total:","إجمالي قيمة السلع"
"ITEMS","السلع"
"items to include","السلع المُراد تضمينها"
"Kind Regards,","مع أطيب التحيات،"
"Last Name","الشهرة"
"LOG IN / CREATE ACCOUNT","تسجيل الدخول/ إنشاء حساب"
"Login","تسجيل الدخول"
"Make","نوع السيارة"
"MANAGE VEHICLE","إدارة المركبة"
"Message","الرسالة"
"Michelin","ميشلان"
"Mobile Tyre Fitment","سيارة تركيب الإطارات"
"Model","طراز السيارة"
"MY ORDERS","طلباتي"
"My Orders","طلباتي"
"MY PRODUCT REVIEWS","آرائي بالمنتجات"
"MY SAVED CARDS","بطاقاتي المحفوظة"
"My Saved Cards","بطاقاتي المحفوظة"
"MY SUBSCRIPTIONS","اشتراكاتي"
"My Subscriptions","اشتراكاتي"
"My Vehicle","مركبتي"
"MY VEHICLE DETAILS","تفاصيل مركبتي"
"Name","الاسم"
"NEW ACCOUNT CONFIRMATION","تأكيد الحساب الجديد"
"NEW CUSTOMER INFORMATION","معلومات العميل الجديد"
"New Customers","عملاء جدد "
"New Password","كلمة مرور جديدة"
"New PASSWORD REQUEST","طلب كلمة مرور جديدة"
"New Style","استمتع بالشكل الجديد!"
"NEW WORK ORDER","طلب عمل جديد"
"News","الأخبار"
"Newsletter Subscription","الاشتراك بالنشرة الإخبارية"
"NEWSLETTER SUBSCRIPTIONS","الاشتراكات بالنشرة الإخبارية"
"Newsletter Unsubscribe","إلغاء الاشتراك بالنشرة الإخبارية"
"NEWSLETTERS","النشرات الإخبارية"
"Newsletters","النشرات الإخبارية"
"No Fitting","بدون التركيب"
"No Stock","غير متوفر في المخزون"
"No stock","غير متوفر في المخزون"
"no stock","غير متوفر في المخزون"
"Note","ملاحظة"
"NOTE  PRICE INCLUDES DELIVERY TO INSTALLER, INSTALLATION, BALANCING & DISPOSAL OF OLD TYRES","ملاحظة: السعر يشمل توصيل المنتج إلى مزوّد خدمة التركيب، وخدمة التركيب وضبط توازن الإطارات الجديدة والتخلّص من الإطارات القديمة"
"OFFERS & PROMOTIONS","العروض والعروض الترويجية"
"OIL BASE","نوع الزيت"
"Oil Change","تبديل الزيت"
"Oil Change / Service Packs Email","تغيير الزيت / باقات الصيانة عبر البريد الإلكتروني"
"Get Price",احصل على الكلفة
"OIL CHANGE CLASSIC","تغيير الزيت كلاسيك"
"Oil Change included","تتوفر خدمة تبديل الزيت"
"Oil Filter","فيلتر الزيت"
"OIL GRADE","درجة الزيت"
"Oil Grade","درجة الزيت"
"Oil leaks","تسرّب الزيت"
"Oil level","مستوى الزيت"
"online","عبر الإنترنت"
"or vehicle details","أو تفاصيل المركبة"
"ORDER","تم إكمال الطلب"
"Order","تم إكمال الطلب"
"Order #","رقم الطلب#"
"Order Comment","التعليق على الطلب"
"ORDER REVIEW","مراجعة الطلب"
"ORDER Securely pay online","دفع كلفة الطلب عبر الإنترنت بكل أمان"
"Order Total","المجموع الإجمالي"
"ORDER UPDATED","تمّ تحديث الطلب"
"Order Updates","تحديثات الطلب"
"ORIGIN","بلد المنشأ"
"Our partner Stop&Go will perform the requested oil change on your car. As a standard procedure we check the car to make sure it is road safe. You will be informed if any concerns arise. No additional jobs are performed without your consent.","سيقوم شريكنا "ستوب أند غو" بتغيير زيت سيارتك بناءً على طلبك. كما نقوم بفحص السيارة للتحقق من أنّها آمنة للسير على الطريق، وسنبلغك إذا وجدنا أيّ خلل. لن ننجز أيّ مهام إضافية قبل الحصول على موافقتك"
"PARTS CATEGORY","فئة قطع الغيار"
"Password","كلمة المرور"
"Password Password you set when creating account","كلمة المرور كلمة المرور التي تختارها عند إنشاء حساب"
"PATTERN","النمط"
"PAYMENT INFORMATION","معلومات الدفع"
"Payment Method","طريقة الدفع"
"per item","حسب السلعة"
"Per Set","حسب الطقم"
"per set","حسب الطقم"
"Per tyre","حسب الإطار"
"PERFORMANCE","الأداء"
"Phone","الهاتف"
"Phone Number","رقم الهاتف"
"Pick-Up/Drop-Off Fee","رسم الاستلام /التوصيل"
"Picture shown is for illustration purpose only.","الصورة المستخدمة لأغراض توضيحية فقط"
"Pirelli","بيريللي"
"Place Order","إرسال الطلب"
"Plate No","اللوحة"
"Plate","اللوحة"
"Please contact us if the customer insists on fitting these to another vehicle or wants to take only the Tyres without installation.","يرجى الاتصال بنا في حال أصرّ العميل على تركيب الإطارات لمركبةٍ أخرى، أو استلام الإطارات من دون تركيبها"
"Please enter a valid email address (Ex: johndoe@domain.com).","يرجى إدخال عنوان بريد إلكتروني صالح (مثال: johndoe@domain.com)"
"Please enter your email address below to receive a password reset link.","يرجى إدخال عنوان بريدك الإلكتروني أدناه لتلقّي رابط لإعادة ضبط كلمة المرور"
"Please feel free to call us at or Write to us at","لا تتردّد في الاتصال بنا على أو مراسلتنا على العنوان"
"Please note the following","يرجى الانتباه لما يلي،"
"Please refuse to accept delivery if the tyres being delivered by the courier are not the exact same specifications and DOT as listed here.","يرجى عدم قبول استلام الإطارات إذا لم تكن بالمواصفات ذاتها ورمز DOT المُدرج هنا"
"Please see the confirmation for the following updates to your order.","يرجى مراجعة التأكيد على التحديثات التالية لطلبك"
"Power steering fluid level Accessories belt","مستوى سائل التوجيه المعزز  حزام الأكسسوارات"
"Power steering leaks","تسريبات سائل التوجيه المعزز"
"PREMIUM SERVICE","خدمة بريميوم"
"Premium Service","خدمة بريميوم"
"Price","السعر"
"PRICE","السعر"
"PRICE ALIGNMENT","مواءمة الأسعار"
"PRICES","أسعار"
"ALIGNMENT","مواءمة"
"PRICE –HIGH TO LOW","السعر - الأعلى إلى الأقل كلفة"
"PRICE –LOW TO HIGH","السعر - الأقل إلى الأعلى كلفة "
"Proceed To Cart","توجه إلى عربة التسوق"
"PROCEED TO CHECKOUT","إتمام عملية الشراء"
"Proceed to Checkout","إتمام عملية الشراء"
"PRODUCTION YEAR","سنة الإنتاج"
"Promotions &amp; Offers","العروض والتخفيضات"
"PROMOTIONS AND OFFERS","العروض والتخفيضات"
"Propeller shaft joins","مفاصل عمود ذراع نقل الحركة"
"Propeller shaft mount","دعائم عمود ذراع نقل الحركة"
"Qty","الكمية"
"QTY","الكمية"
"QUALIFIED CALL CENTER","مركز اتصال معتمد"
"CALL CENTER","مركز اتصال"
"QUALIFIED","معتمد"
"The most famous Tyre brands, anywhere in the KSA. All the regions.","كفرات عالية الجودة من أجلك أينما كنت في المملكة العربية السعودية"
"Rear boot inner","المفصل الخلفي الداخلي"
"Rear boot outer","المفصل الخلفي الخارجي"
"Rear brake discs","أقراص الفرامل الخلفية"
"Rear brake pads","بطانات الفرامل الخلفية"
"Rear diff oil leaks","تسريبات زيت الترس التفاضلي الخلفي"
"Rear diff oil mounts","دعائم زيت الترس التفاضلي الخلفي"
"Rear lower arm","الذراع السفلية الخلفية"
"Rear shocks","ممتصّ الصدمات الخلفية"
"Rear upper arm","الذراع العلوية الخلفية"
"Recent Orders","الطلبات الأخيرة"
"Recent OrdersView All","الطلبات الأخيرة عرض الكل"
"Reset My Password","إعادة ضبط كلمة المرور الخاصة بي"
"Reset your password","إعادة ضبط كلمة المرور الخاصة بك"
"RETURNING CUSTOMER","عميل سبق أن استخدم موقعنا للشراء"
"Reverse bulbs","مصابيح عكسية"
"Rim Size","حجم العجلة"
"Rim","حجم العجلة"
"RUN FLAT","إطارات مسطحة "
"RunFlat","رن فلات"
"Saturday - Thursday 9AM to 9PM","من السبت إلى الخميس، من 9 صباحاً حتى 9 مساءً"
"Saturday - Thursday: 9AM to 9PM","من السبت إلى الخميس، من 9 صباحاً حتى 9 مساءً"
"Saturday - Thursday: 09:00 AM to 06:00 PM","من السبت إلى الخميس، من 9 صباحاً حتى 6 مساءً"
"SAVE ADDRESS","حفظ العنوان"
"Save Address","حفظ العنوان"
"Search","ابحث"
"Close","إغلاق"
"SEARCH & FIND","ابحث عن الإطارات المناسبة"
"SEARCH & FIND By part number or vehicle details","البحث والعثور على المنتج حسب رقم قطعة الغيار أو تفاصيل المركبة"
"search an option","البحث عن خيار"
"SEARCH AN OPTION..","البحث عن خيار.."
"Search by Size","البحث حسب الحجم"
"Search By Size","البحث حسب الحجم"
"Search by Vehicle","البحث حسب المركبة"
"Search By Vehicle","البحث حسب المركبة"
"Search Fitting Location","البحث عن موقع لتركيب الإطارات"
"Secure Online Payments","دفعات آمنة عبر الإنترنت"
"SECURE PAYMENT","الدفع الآمن"
"SECURE","الآمن"
"PAYMENT","الدفع"
"Securely pay","ادفع بأمان عبر الإنترنت"
"See All","عرض الكل"
"Select City","اختر المدينة"
"Select Fitment Location","حدد موقع التركيب"
"Select Fitting Location","حدد موقع التركيب"
"Select here, Mobile Van or Fitment Garage","اختر من هنا خدمة سيارة التركيب أو مركز الصيانة"
"SELECT MOBILE FITMENT SERVICE","اختر خدمة السيارة المتنقلة"
"Select Mobile","خدمة السيارة المتنقلة"
"Fitment Service",""
"Send Message","أرسِل رسالة"
"Sensor","الحساسات"
"Service","الخدمة"
"SERVICE DETAILS","تفاصيل الخدمة"
"Service Details","تفاصيل الخدمة"
"Service Id","رقم تعريف الخدمة"
"Service Packs","باقات الصيانة"
"SERVICE PACKS VS OIL CHANGE","باقات الصيانة مقابل تغيير الزيت"
"set of 4","طقم من 4"
"Ship To","الشحن إلى"
"SHIPMENT INFORMATION","معلومات الشحن"
"Shopping Cart","عربة التسوق"
"Sign in with Facebook","سجّل دخولك عبر فيسبوك"
"Sign in with Google","سجّل دخولك عبر غوغل"
"SIGN OUT","تسحيل الخروج"
"Sign Out","تسحيل الخروج"
"SORT BY","التصنيف حسب"
"Spark Plug Check","فحص شمعة الإشعال (البوجي)"
"Stabilizer bushes","بطانات الموازنة"
"Stabilizer links","وصلات الموازنة"
"STANDARD SERVICE","الخدمة القياسية"
"Standard Service","الخدمة القياسية"
"Starlight Headliner","بطانة السقف المرصعة بالنجوم"
"Starlight Headliner Car Roof","بطانة سقف السيارة المرصعة بالنجوم"
"Status","الحالة"
"Steering","المقود"
"Stop bulbs","مصابيح التوقف"
"Stop&Go is a unique car maintenance and repair garage with multiple locations in Dubai. We pride ourselves in having a team of professionally traine staff that have a true passion in working in the automotive industry. We are customer oriented and look at every car from the owners perspective. Our concerns for safety, costs, transparency and loyalty make us an ideal and dependable everyday car garage for any individual or organisation. For more information visit www.stopandgouae.com",""ستوب أند غو" هي ورشة متميّزة لصيانة السيارات وتصليحها في مواقع متعدّدة في مدينة دبي. نحن نفتخر بفريقنا المؤلف من أفراد مدرّبين تدريباً عالياً لديهم شغف كبير للعمل في قطاع السيارات. همّنا الوحيد هو إرضاء عملائنا عبر الاهتمام بسياراتهم كأنها ملكنا، ونحرص على الحفاظ على سلامة عملائنا وتقديم منتجاتٍ بكلفةٍ مدروسة والتعامل معهم بشفافية لكسب ولائهم الدائم لنا. هذا ما يجعلنا وجهةً مثاليةً يُعتمَد عليها لصيانة سيارات الأفراد أو الشركات. للمزيد من المعلومات يرجى زيارة www.stopandgouae.com"
"Street Address","عنوان الشارع"
"Street Address 2","عنوان الشارع 2"
"Street Address 3","عنوان الشارع 3"
"Street Address Line","سطر عنوان الشارع"
"Submit","إرسال"
"Submit Vehicle","إدخال المركبة"
"SUBSCRIPTION OPTION","خيار الاشتراك"
"Subtotal","المجموع الفرعي"
"SUPERB SERVICE","الخدمة المتميّزة"
"Superb Service","الخدمة المتميّزة"
"Terms & Conditions","الشروط والأحكام"
"Thank you for choosing the TyresOnline","شكراً لاختيارك TyresOnline"
"Thank you for the Email","شكراً لإرسالك البريد الإلكتروني"
"Thank you for your order at TyresOnline","شكراً على إرسال طلبك عبر  TyresOnline"
"Thank you!Your order has been placed successfully.","شكراً لك! تمّ تلقي طلبك بنجاح"
